YEAR,Location,Death Rate,"Deaths ",URL
2019,MA,3.4,247,/nchs/state-stats/states/ma.html
2019,MI,12.1,1220,/nchs/state-stats/states/mi.html
2019,MN,8.1,465,/nchs/state-stats/states/mn.html
2019,MS,24.2,710,/nchs/state-stats/states/ms.html
2019,MO,20.6,1252,/nchs/state-stats/states/mo.html
2019,MT,19,209,/nchs/state-stats/states/mt.html
2019,NE,10.4,205,/nchs/state-stats/states/ne.html
2019,NV,15.3,490,/nchs/state-stats/states/nv.html
2019,NH,10.7,156,/nchs/state-stats/states/nh.html
2019,NJ,4.1,368,/nchs/state-stats/states/nj.html
2019,NM,22.3,471,/nchs/state-stats/states/nm.html
2019,NY,3.9,804,/nchs/state-stats/states/ny.html
2019,NC,13.1,1397,/nchs/state-stats/states/nc.html
2019,ND,12.4,93,/nchs/state-stats/states/nd.html
2019,OH,13.3,1578,/nchs/state-stats/states/oh.html
2019,OK,18.6,737,/nchs/state-stats/states/ok.html
2019,OR,12.6,566,/nchs/state-stats/states/or.html
2019,PA,11.7,1541,/nchs/state-stats/states/pa.html
2019,RI,4.6,48,/nchs/state-stats/states/ri.html
2019,SC,19.9,1012,/nchs/state-stats/states/sc.html
2019,SD,13.1,113,/nchs/state-stats/states/sd.html
2019,TN,18.4,1270,/nchs/state-stats/states/tn.html
2019,TX,12.7,3683,/nchs/state-stats/states/tx.html
2019,UT,12.8,394,/nchs/state-stats/states/ut.html
2019,VT,9.3,67,/nchs/state-stats/states/vt.html
2019,VA,11.7,1025,/nchs/state-stats/states/va.html
2019,WA,10.7,842,/nchs/state-stats/states/wa.html
2019,WV,16.6,300,/nchs/state-stats/states/wv.html
2019,WI,10,604,/nchs/state-stats/states/wi.html
2019,WY,22.3,133,/nchs/state-stats/states/wy.html
2018,AL,21.8,1064,/nchs/state-stats/states/al.html
2018,AK,21,155,/nchs/state-stats/states/ak.html
2018,AZ,15.3,1147,/nchs/state-stats/states/az.html
2018,AR,18.9,573,/nchs/state-stats/states/ar.html
2018,CA,7.5,3040,/nchs/state-stats/states/ca.html
2018,CO,15.2,889,/nchs/state-stats/states/co.html
2018,CT,4.9,186,/nchs/state-stats/states/ct.html
2018,DE,11.6,107,/nchs/state-stats/states/de.html
2018,District of Columbia,16.7,125,/nchs/state-stats/states/dc.html
2018,FL,12.9,2902,/nchs/state-stats/states/fl.html
2018,GA,15.7,1680,/nchs/state-stats/states/ga.html
2018,HI,4,59,/nchs/state-stats/states/hi.html
2018,ID,16.6,294,/nchs/state-stats/states/id.html
2018,IL,10.9,1382,/nchs/state-stats/states/il.html
2018,IN,14.7,977,/nchs/state-stats/states/in.html
2018,IA,8.7,282,/nchs/state-stats/states/ia.html
2018,KS,14.8,424,/nchs/state-stats/states/ks.html
2018,KY,16.9,762,/nchs/state-stats/states/ky.html
2018,LA,21.4,991,/nchs/state-stats/states/la.html
2018,ME,10.3,159,/nchs/state-stats/states/me.html
2018,MD,11.7,707,/nchs/state-stats/states/md.html
2018,MA,3.5,258,/nchs/state-stats/states/ma.html
2018,MI,12.9,1310,/nchs/state-stats/states/mi.html
2018,MN,7.8,437,/nchs/state-stats/states/mn.html
2018,MS,22.9,681,/nchs/state-stats/states/ms.html
2018,MO,21.5,1311,/nchs/state-stats/states/mo.html
2018,MT,17.3,186,/nchs/state-stats/states/mt.html
2018,NE,9,183,/nchs/state-stats/states/ne.html
2018,NV,17.9,550,/nchs/state-stats/states/nv.html
2018,NH,10.8,155,/nchs/state-stats/states/nh.html
2018,NJ,4.8,420,/nchs/state-stats/states/nj.html
2018,NM,20.7,438,/nchs/state-stats/states/nm.html
2018,NY,4.1,821,/nchs/state-stats/states/ny.html
2018,NC,13.3,1416,/nchs/state-stats/states/nc.html
2018,ND,11.5,89,/nchs/state-stats/states/nd.html
2018,OH,13.1,1555,/nchs/state-stats/states/oh.html
2018,OK,16.8,665,/nchs/state-stats/states/ok.html
2018,OR,11.7,519,/nchs/state-stats/states/or.html
2018,PA,12.5,1654,/nchs/state-stats/states/pa.html
2018,RI,3.3,37,/nchs/state-stats/states/ri.html
2018,SC,17.6,895,/nchs/state-stats/states/sc.html
2018,SD,13.6,117,/nchs/state-stats/states/sd.html
2018,TN,17.8,1228,/nchs/state-stats/states/tn.html
2018,TX,12.2,3522,/nchs/state-stats/states/tx.html
2018,UT,13.2,397,/nchs/state-stats/states/ut.html
2018,VT,12.8,82,/nchs/state-stats/states/vt.html
2018,VA,11.8,1035,/nchs/state-stats/states/va.html
2018,WA,10.4,809,/nchs/state-stats/states/wa.html
2018,WV,18.2,343,/nchs/state-stats/states/wv.html
2018,WI,10.1,598,/nchs/state-stats/states/wi.html
2018,WY,21.5,124,/nchs/state-stats/states/wy.html
2017,AL,22.9,1124,/nchs/state-stats/states/al.html
2017,AK,24.5,180,/nchs/state-stats/states/ak.html
2017,AZ,15.8,1134,/nchs/state-stats/states/az.html
2017,AR,20.3,613,/nchs/state-stats/states/ar.html
2017,CA,7.9,3184,/nchs/state-stats/states/ca.html
2017,CO,13.4,779,/nchs/state-stats/states/co.html
2017,CT,5.1,188,/nchs/state-stats/states/ct.html
2017,DE,11.7,111,/nchs/state-stats/states/de.html
2017,District of Columbia,13.1,100,/nchs/state-stats/states/dc.html
2017,FL,12.4,2724,/nchs/state-stats/states/fl.html
2017,GA,15.4,1623,/nchs/state-stats/states/ga.html
2017,HI,2.5,39,/nchs/state-stats/states/hi.html
2017,ID,16.4,280,/nchs/state-stats/states/id.html
2017,IL,12.1,1543,/nchs/state-stats/states/il.html
2017,IN,15.3,1016,/nchs/state-stats/states/in.html
